Date,Open,High,Low,Close,Volume,MACD,MACD_Signal,RSI,TR,ATR,MFI,BB_Middle,BB_Std,BB_Upper,BB_Lower,SO_%K,SO_%D,+DI,-DI,DX,ADX,MACD_Histogram,Cumulative_TP_Volume,Cumulative_Volume,VWAP,MFM,MFV,CMF,Fib_23.6,Fib_38.2,Fib_50.0,Fib_61.8,Fib_76.4,ROC,PSAR,sentiment_score,has_sentiment
2011-07-17,108.28,116.76,108.28,116.76,133,0.0,0.0,0.0,8.480000000000004,0.0,0.0,108.14894999999999,4.47268237514664,117.09431475029326,99.2035852497067,0.0,0.0,,,,0.0,0.0,15529.08,133,116.76,1.0,133.0,0.0,106.9144576,100.8235712,95.9008,90.9780288,84.8871424,0.0,116.76,0.0,0
2011-07-18,119.049,119.558,106.669,108.789,1187,-0.6358632478632558,-0.12717264957265115,0.0,12.88900000000001,0.0,0.0,108.14894999999999,4.47268237514664,117.09431475029326,99.2035852497067,0.0,0.0,,,,0.0,-0.5086905982906046,144661.623,1320,109.59213863636363,-0.6710373186438043,-796.5212972301957,0.0,106.9144576,100.8235712,95.9008,90.9780288,84.8871424,0.0,116.76,0.08484,1
2011-07-19,108.959,112.011,108.959,112.011,975,-0.8697747583217676,-0.27569307132247445,0.0,3.221999999999994,0.0,0.0,108.14894999999999,4.47268237514664,117.09431475029326,99.2035852497067,0.0,0.0,,,,0.0,-0.5940816869992932,253872.348,2295,110.61975947712418,1.0,975.0,0.0,106.9144576,100.8235712,95.9008,90.9780288,84.8871424,0.0,119.558,0.050904,1
2011-07-20,114.216,116.421,112.435,114.979,610,-0.8063632664209308,-0.38182711034216577,0.0,4.410000000000011,0.0,0.0,108.14894999999999,4.47268237514664,117.09431475029326,99.2035852497067,0.0,0.0,,,,0.0,-0.42453615607876505,324009.538,2905,111.53512495697073,0.276467636728547,168.64525840441368,0.0,106.9144576,100.8235712,95.9008,90.9780288,84.8871424,0.0,119.558,0.02121,1
2011-07-21,114.046,117.014,114.046,116.166,963,-0.652803114459644,-0.4360223111656615,0.0,2.9679999999999893,0.0,0.0,108.14894999999999,4.47268237514664,117.09431475029326,99.2035852497067,0.0,0.0,,,,0.0,-0.21678080329398253,435877.396,3868,112.68805480868666,0.4285714285714272,412.7142857142844,0.0,106.9144576,100.8235712,95.9008,90.9780288,84.8871424,0.0,119.30022000000001,0.0,0
2011-07-24,114.046,114.046,106.839,111.926,605,-0.8632867205929813,-0.5214751930511254,0.0,9.326999999999998,0.0,0.0,108.14894999999999,4.47268237514664,117.09431475029326,99.2035852497067,0.0,0.0,,,,0.0,-0.34181152754185584,503592.626,4473,112.5849823384753,0.41168308588871866,249.06826696267478,0.0,106.9144576,100.8235712,95.9008,90.9780288,84.8871424,0.0,119.04759560000001,0.0,0
2011-07-25,109.722,109.722,109.722,109.722,44,-1.1941751673288792,-0.6560151879066762,0.0,2.2040000000000077,0.0,0.0,108.14894999999999,4.47268237514664,117.09431475029326,99.2035852497067,0.0,0.0,,,,0.0,-0.538159979422203,508420.394,4517,112.55709408899712,0.0,0.0,0.0,106.9144576,100.8235712,95.9008,90.9780288,84.8871424,0.0,118.80002368800001,0.0,0
2011-07-26,107.602,107.687,105.652,107.263,488,-1.6359689627222025,-0.8520059428697815,0.0,4.069999999999993,0.0,0.0,108.14894999999999,4.47268237514664,117.09431475029326,99.2035852497067,0.0,0.0,,,,0.0,-0.783963019852421,560764.738,5005,112.0409066933067,0.5832923832923901,284.64668304668635,0.0,106.9144576,100.8235712,95.9008,90.9780288,84.8871424,0.0,118.55740321424001,0.0,0
2011-07-27,106.076,109.722,105.567,109.722,1523,-1.767300637600485,-1.0350648818159223,0.0,4.155000000000001,0.0,0.0,108.14894999999999,4.47268237514664,117.09431475029326,99.2035852497067,0.0,0.0,,,,0.0,-0.7322357557845627,727871.344,6528,111.49989950980392,1.0,1523.0,0.0,106.9144576,100.8235712,95.9008,90.9780288,84.8871424,0.0,118.04118708567042,0.0,0
2011-07-28,110.231,110.655,108.196,109.298,433,-1.88387900808803,-1.204827707070344,0.0,2.459000000000003,0.0,0.0,108.14894999999999,4.47268237514664,117.09431475029326,99.2035852497067,0.0,0.0,,,,0.0,-0.6790513010176862,775197.378,6961,111.36293319925298,-0.10370069133794027,-44.902399349328135,0.0,106.9144576,100.8235712,95.9008,90.9780288,84.8871424,0.0,117.29273586053019,0.0,0
2011-07-31,107.178,107.178,105.143,105.991,404,-2.217552899403472,-1.4073727455369696,0.0,4.155000000000001,0.0,0.0,108.14894999999999,4.47268237514664,117.09431475029326,99.2035852497067,0.0,0.0,,,,0.0,-0.8101801538665026,818017.7420000001,7365,111.06826096401902,-0.1665847665847662,-67.30024570024554,0.0,106.9144576,100.8235712,95.9008,90.9780288,84.8871424,0.0,116.58919170889837,0.0,0
2011-08-01,105.991,106.33,105.228,105.652,371,-2.4807497897571125,-1.6220481543809984,0.0,1.1020000000000039,0.0,0.0,108.14894999999999,4.47268237514664,117.09431475029326,99.2035852497067,0.0,0.0,,,,0.0,-0.8587016353761141,857214.6340000001,7736,110.80851008273011,-0.23049001814881107,-85.51179673320891,0.0,106.9144576,100.8235712,95.9008,90.9780288,84.8871424,0.0,115.6734963721865,0.0,0
2011-08-02,105.991,107.687,105.313,107.348,446,-2.5233940794671526,-1.8023173393982292,0.0,2.3739999999999952,0.0,0.0,108.14894999999999,4.47268237514664,117.09431475029326,99.2035852497067,0.0,0.0,,,,0.0,-0.7210767400689233,905091.8420000001,8182,110.61987802493279,0.7144060657118793,318.62510530749813,0.0,106.9144576,100.8235712,95.9008,90.9780288,84.8871424,-8.060979787598498,114.83105666241158,0.0,0
2011-08-03,106.415,106.415,104.719,105.143,498,-2.7039456559697044,-1.9826430027125244,33.25163634266599,2.629000000000005,4.603142857142858,53.3802349950595,108.14894999999999,4.47268237514664,117.09431475029326,99.2035852497067,2.857335399959608,0.0,18.816336664390793,23.15809074545342,10.34380776340111,0.0,-0.72130265325718,957453.0560000001,8680,110.30565161290323,-0.49999999999999584,-248.99999999999793,0.0,106.9144576,100.8235712,95.9008,90.9780288,84.8871424,-3.3514417817977926,114.05601212941866,0.0,0
2011-08-04,104.465,106.161,104.465,106.161,85,-2.7333812711102325,-2.132790656392066,35.155046359842004,1.695999999999998,4.118571428571429,53.82079322947611,108.14894999999999,4.47268237514664,117.09431475029326,99.2035852497067,11.236997283508895,0.0,21.03017689906348,26.323274366978833,11.177849399355377,0.0,-0.6005906147181665,966476.7410000002,8765,110.26545818596693,1.0,85.0,0.0,106.9144576,100.8235712,95.9008,90.9780288,84.8871424,-5.222701341832494,113.12231091647679,0.0,0
2011-08-09,104.041,104.041,100.056,100.225,554,-3.1988207841563963,-2.345996681944932,37.280180608364994,6.105000000000004,3.6340000000000003,58.5258181105713,108.14894999999999,4.47268237514664,117.09431475029326,99.2035852497067,0.9965797853520283,5.03030415627351,18.334774746442335,38.49948895353408,35.47985474667127,0.0,-0.8528241022114642,1022001.3910000002,9319,109.66856862324286,-0.9151819322459237,-507.0107904642417,0.0,106.9144576,100.8235712,95.9008,90.9780288,84.8871424,-12.831908435453435,112.08343360649958,0.0,0
2011-08-10,99.6315,104.634,98.3597,104.634,842,-3.175312473475671,-2.5118598402510797,39.41637255745891,6.274299999999997,3.852021428571429,57.46028363122203,108.14894999999999,4.47268237514664,117.09431475029326,99.2035852497067,33.63460435395592,15.289393807605615,17.297040700337302,39.46592049072564,39.05518550339252,0.0,-0.6634526332245914,1110103.2190000003,10161,109.2513747662632,1.0,842.0,0.0,106.9144576,100.8235712,95.9008,90.9780288,84.8871424,-9.927173183203344,110.39959290158964,-0.02296,1
2011-08-11,106.415,106.415,103.447,103.447,86,-3.215397842902746,-2.6525674407814135,32.56425763531901,2.9680000000000035,3.7490214285714285,53.045890469023526,108.14894999999999,4.47268237514664,117.09431475029326,99.2035852497067,27.27146019952505,20.634214779611,12.763330621514562,40.550200719044774,52.1197328311111,0.0,-0.5628304021213326,1118999.6610000003,10247,109.2026603884064,-1.0,-86.0,0.0,106.9144576,100.8235712,95.9008,90.9780288,84.8871424,-7.5755409824348225,108.4732100373353,-0.013776,1
2011-08-15,104.295,105.228,102.599,103.871,1106,-3.176337686836746,-2.75732148999248,30.971616058439338,2.6289999999999907,3.7248071428571428,53.2500723651321,108.14894999999999,4.47268237514664,117.09431475029326,99.2035852497067,35.13448040646928,32.01351498665009,11.709139303473064,42.439972922855056,56.752239059683404,0.0,-0.41901619684426583,1233880.9870000002,11353,108.68325438210167,-0.03233168505135346,-35.75884366679693,0.0,106.9144576,100.8235712,95.9008,90.9780288,84.8871424,-5.332567762162556,106.85504843136165,0.04675,1
2011-08-16,102.175,104.295,102.175,103.871,770,-3.109537419983454,-2.827764675990675,35.650407952399604,2.1200000000000045,3.2100214285714292,58.16634475411713,108.14894999999999,4.47268237514664,117.09431475029326,99.2035852497067,44.82444511317327,35.7434619063892,13.586914195054344,34.152642505724245,43.079009802230715,0.0,-0.28177274399277863,1313861.6570000001,12123,108.37760100635157,0.5999999999999946,461.9999999999959,0.295446195355237,106.9144576,100.8235712,95.9008,90.9780288,84.8871424,-3.1623206511098982,106.415,0.02805,1
